SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
52.292,0.06039179130408717,0.03940920933604865,0.02769375173020833,619.5787307094683,7393.617276660695,23.30930769007434,222.14999373900662,0.399184432941352,0.3180422441312248
52.293,0.06039107853752903,0.03940935608160068,0.0276938124431731,619.5779480726683,7393.57242377518,23.309375667222422,222.15051389054383,0.39918559216773375,0.31804220998880134
52.294,0.06039036573173257,0.03940950286689696,0.027693873260423513,619.5771651434014,7393.527563281679,23.309443673274448,222.1510342618003,0.3991867512115487,0.31804217588740397
52.295,0.0603896528867064,0.03940964969193503,0.027693934181959087,619.5763819216678,7393.482695180191,23.309511708229437,222.15155485276665,0.3991879100727748,0.3180421418270305
52.296,0.06038894000245912,0.0394097965567124,0.02769399520777934,619.5755984074676,7393.437819470716,23.309579772086412,222.15207566343346,0.39918906875139004,0.3180421078076787
52.297,0.06038822707899933,0.03940994346122663,0.027694056337883792,619.5748146008006,7393.392936153255,23.309647864844397,222.15259669379134,0.3991902272473725,0.3180420738293464
52.298,0.060387514116335625,0.039410090405475245,0.027694117572271956,619.5740305016668,7393.348045227806,23.30971598650241,222.1531179438309,0.3991913855607001,0.31804203989203134
52.299,0.06038680111447662,0.039410237389455774,0.027694178910943352,619.5732461100664,7393.303146694372,23.30978413705947,222.15363941354275,0.3991925436913508,0.3180420059957313
52.3,0.060386088073430905,0.03941038441316575,0.027694240353897486,619.5724614259992,7393.258240552952,23.309852316514593,222.15416110291747,0.39919370163930273,0.3180419721404441
52.301,0.06038537499320709,0.03941053147660271,0.02769430190113388,619.5716764494654,7393.213326803544,23.309920524866804,222.15468301194568,0.3991948594045338,0.31804193832616756
52.302,0.06038466187381379,0.03941067857976417,0.027694363552652042,619.5708911804647,7393.16840544615,23.30998876211512,222.1552051406179,0.399196016987022,0.3180419045528995
52.303,0.06038394871525961,0.03941082572264768,0.027694425308451488,619.5701056189973,7393.12347648077,23.31005702825855,222.15572748892478,0.39919717438674535,0.31804187082063756
52.304,0.06038323551755314,0.039410972905250766,0.027694487168531727,619.5693197650633,7393.078539907402,23.310125323296127,222.15625005685686,0.3991983316036818,0.31804183712937967
52.305,0.060382522280703003,0.039411120127570955,0.027694549132892265,619.5685336186625,7393.033595726049,23.310193647226857,222.15677284440474,0.39919948863780946,0.31804180347912353
52.306,0.060381809004717804,0.03941126738960577,0.02769461120153262,619.567747179795,7392.988643936709,23.310262000049757,222.15729585155896,0.3992006454891062,0.318041769869867
52.307,0.06038109568960615,0.03941141469135275,0.0276946733744523,619.5669604484607,7392.943684539382,23.310330381763848,222.1578190783101,0.39920180215755013,0.3180417363016078
52.308,0.06038038233537667,0.03941156203280942,0.027694735651650804,619.5661734246597,7392.898717534069,23.310398792368144,222.15834252464873,0.39920295864311917,0.31804170277434385
52.309,0.06037966894203795,0.0394117094139733,0.027694798033127646,619.565386108392,7392.853742920769,23.310467231861658,222.1588661905654,0.39920411494579133,0.3180416692880728
52.31,0.06037895550959862,0.039411856834841934,0.027694860518882335,619.5645984996576,7392.808760699482,23.31053570024341,222.15939007605067,0.39920527106554465,0.3180416358427925
52.311,0.06037824203806729,0.039412004295412834,0.027694923108914367,619.5638105984565,7392.76377087021,23.310604197512408,222.15991418109508,0.39920642700235703,0.3180416024385007
52.312,0.060377528527452574,0.03941215179568353,0.027694985803223257,619.5630224047886,7392.71877343295,23.310672723667672,222.16043850568914,0.3992075827562066,0.3180415690751953
52.313,0.06037681497776309,0.03941229933565156,0.027695048601808502,619.562233918654,7392.6737683877045,23.31074127870821,222.16096304982347,0.39920873832707127,0.31804153575287397
52.314,0.060376101389007446,0.03941244691531443,0.027695111504669606,619.5614451400527,7392.628755734472,23.31080986263304,222.16148781348855,0.3992098937149291,0.31804150247153457
52.315,0.06037538776119428,0.03941259453466968,0.027695174511806073,619.5606560689846,7392.583735473253,23.31087847544117,222.16201279667493,0.399211048919758,0.3180414692311748
